timestamp,vehicle_id,adc_l,adc_r,steer,state,source
1785746188.110332,vehicle_01,3000,2900,0.05,RUNNING,ttyUSB0
1785746189.110332,vehicle_01,3001,2899,0.05,RUNNING,ttyUSB0
1785746190.110332,vehicle_01,3002,2898,0.05,RUNNING,ttyUSB0
1785746191.110332,vehicle_01,3003,2897,0.05,RUNNING,ttyUSB0
1785746192.110332,vehicle_01,3004,2896,0.05,RUNNING,ttyUSB0
1785746207.910332,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746207.960332,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.0103319,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.060332,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.110332,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.160332,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.210332,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.2603319,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.310332,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.360332,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.410332,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.460332,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.5103319,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.560332,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746208.610332,vehicle_01,3100,3100,0.0,RUNNING,ttyUSB0
1785746223.110332,vehicle_01,0,0,0.0,LOCKED,ttyUSB0
1785746232.910332,vehicle_01,NaN,DROP,ERR,RUNNING,ttyUSB0
1785746257.910332,vehicle_01,2000,2000,0.0,RUNNING,ttyUSB0
1785746258.910333,vehicle_01,2000,2000,0.0,RUNNING,ttyUSB0
1785746259.9103339,vehicle_01,2000,2000,0.0,RUNNING,ttyUSB0
1785746260.910335,vehicle_01,2000,2000,0.0,RUNNING,ttyUSB0
1785746261.910336,vehicle_01,2000,2000,0.0,RUNNING,ttyUSB0
1785746262.910337,vehicle_01,2000,2000,0.0,RUNNING,ttyUSB0
1785746263.910338,vehicle_01,2000,2000,0.0,RUNNING,ttyUSB0
